Task name,Duration,Start date,Finish date,Owner,Dependency,Status,% complete,Today's date
Testing Bench Design,5,01/08/2022,05/08/2022,Jack,,On track,100,01/08/2022
Testing Bench Approval,5,05/08/2022,10/08/2022,Jack,2,On track,100,
Testing Bench Build,30,11/08/2022,11/09/2022,Jack,"2, 3",On track,100,
Test Bench Verification (Test pins and power supply etc),3,12/09/2022,16/09/2022,Jack,4,On track,100,
Software Architecture Design (SWC Definition),15,01/08/2022,16/08/2022,Jack,,On track,100,
Software Component Interface Definition,10,16/08/2022,26/08/2022,Jack,6,On track,100,
Ripple Filtering SWC Development (DSP),20,01/09/2022,21/09/2022,Jack,"6, 7",On track,100,
Anti-Trap SWC Development,20,15/09/2022,05/10/2022,Jack,"6, 7",On track,100,
Motor Driving SWC Development,20,05/10/2022,25/10/2022,Jack,"6, 7",On track,100,
Switch Press Processing SWC Development,20,30/10/2022,20/11/2022,Jack,"6, 7",On track,100,
Static & Runtime Code Analysis,15,01/09/2022,20/11/2022,Jack,"6, 7, 8, 9, 10, 11",On track,100,
Requirements/Specification Authoring,10,21/09/2022,15/12/2022,Jack,,On track,100,
Test Case Authoring,10,21/11/2022,01/12/2022,Jack,13,On track,100,
Bug Fixes,10,01/12/2022,11/12/2022,Jack,14,On track,100,
Test Execution,5,02/12/2022,07/12/2022,Jack,"5, 14",On track,100,
Seat Motor Plant Model,40,01/01/2023,10/02/2023,Jack,,On track,100,
Literature Review,10,20/07/2022,30/07/2022,Jack,,On track,100,
Interim Report,90,01/08/2022,01/10/2022,Jack,18,On track,100,
Final Submission Report,100,01/11/2022,01/03/2023,Jack,19,On track,100,
